manufacturer,date,avg_price,tdp,sales,units,date_new,channel,SOM
YUPI,DICIEMBRE 2019,910.081811,693,13585.534,14.927816198273629,2019-12-01,DTS,10.359154190959556
YUPI,DICIEMBRE 2020,1072.96922,431,12103.606,11.280478297410992,2020-12-01,DTS,9.86951737353352
YUPI,DICIEMBRE 2021,1159.572401,769,16132.069,13.912084304600484,2021-12-01,DTS,9.655612205122848
YUPI,ENERO 2020,954.355956,727,14022.529,14.693185400940695,2020-01-01,DTS,10.784417573630655
YUPI,ENERO 2021,1077.224306,441,11225.085,10.420378501931053,2021-01-01,DTS,9.587026972624972
YUPI,ENERO 2022,1230.103034,800,18264.166,14.847671695117532,2022-01-01,DTS,10.164770862857877
YUPI,FEBRERO 2020,937.289408,693,12936.648,13.802191606543792,2020-02-01,DTS,10.88966331968832
YUPI,FEBRERO 2021,1099.299397,482,10844.764,9.86515960037409,2021-02-01,DTS,9.45397836992518
YUPI,FEBRERO 2022,1250.346728,783,17897.675,14.31416950130972,2022-02-01,DTS,10.448748137786826
YUPI,JULIO 2020,1006.386915,344,7930.22,7.879891800858719,2020-07-01,DTS,9.337403276369766
YUPI,JULIO 2021,1139.741374,616,13381.751,11.741041700570923,2021-07-01,DTS,9.1226784202292
YUPI,JULIO 2022,1467.439125,780,23202.419,15.81150359474026,2022-07-01,DTS,10.491493113636158
YUPI,JUNIO 2020,1008.670518,305,6902.803,6.843466599665204,2020-06-01,DTS,9.240792418087604
YUPI,JUNIO 2021,1160.523731,565,10700.605,9.220496500127147,2021-06-01,DTS,8.42286741866918
YUPI,JUNIO 2022,1425.428709,781,22492.498,15.779461896610362,2022-06-01,DTS,10.69894703895882
YUPI,MARZO 2020,919.503112,645,12005.964,13.057012905465838,2020-03-01,DTS,10.22619410935042
YUPI,MARZO 2021,1077.248673,561,10886.851,10.106163296243857,2021-03-01,DTS,9.257202830751408
YUPI,MARZO 2022,1293.3481,764,19739.024,15.261957704967443,2022-03-01,DTS,10.358245023135373
YUPI,MAYO 2020,1029.87012,301,6906.646,6.706327201725204,2020-05-01,DTS,10.165953754947804
YUPI,MAYO 2021,1102.069808,554,10415.849,9.451169902660103,2021-05-01,DTS,8.9714559035611
YUPI,MAYO 2022,1380.899382,790,22095.308,16.00066470302758,2022-05-01,DTS,10.881060127378088
YUPI,NOVIEMBRE 2019,896.352339,699,12906.824,14.399275193948036,2019-11-01,DTS,10.622602541507334
YUPI,NOVIEMBRE 2020,1044.045632,424,10864.973,10.406607400087278,2020-11-01,DTS,10.003915393974872
YUPI,NOVIEMBRE 2021,1112.896064,718,14984.559,13.464472995027142,2021-11-01,DTS,9.45579291132138
YUPI,OCTUBRE 2019,900.032648,706,13597.528,15.107816400011304,2019-10-01,DTS,10.705092338366034
YUPI,OCTUBRE 2020,1010.793017,399,10606.726,10.493469802037623,2020-10-01,DTS,9.636387721967324
YUPI,OCTUBRE 2021,1104.630618,718,15423.217,13.962329803898305,2021-10-01,DTS,9.71953869448436
YUPI,SEPTIEMBRE 2019,894.078631,710,12560.188,14.048191696463888,2019-09-01,DTS,10.625423091289116
YUPI,SEPTIEMBRE 2020,1014.978301,348,9258.445,9.121815698796894,2020-09-01,DTS,9.649310488391206
YUPI,SEPTIEMBRE 2021,1108.295964,713,14505.647,13.088243096769052,2021-09-01,DTS,9.614801756933357
COMESTIBLES,ABRIL 2020,1251.396901,628,1278.361,1.0215471997560908,2020-04-01,SUPERCADENAS,3.498733928192809
COMESTIBLES,ABRIL 2021,1200.66301,724,1327.192,1.1053826002351816,2021-04-01,SUPERCADENAS,3.8643800571979456
COMESTIBLES,ABRIL 2022,1560.388948,591,1979.173,1.2683844002719762,2022-04-01,SUPERCADENAS,3.9996734256047457
COMESTIBLES,AGOSTO 2019,1165.969182,713,1579.902,1.3550117999602498,2019-08-01,SUPERCADENAS,4.200830108929761
COMESTIBLES,AGOSTO 2020,1245.723753,762,1180.944,0.947998299908792,2020-08-01,SUPERCADENAS,3.980810706104247
COMESTIBLES,AGOSTO 2021,1484.927213,732,1456.728,0.9810097001704016,2021-08-01,SUPERCADENAS,3.5732584606128377
COMESTIBLES,AGOSTO 2022,1916.456898,675,2264.299,1.181502700302316,2022-08-01,SUPERCADENAS,3.866317658048973
COMESTIBLES,DICIEMBRE 2019,1631.627177,698,1372.08,0.840927400169187,2019-12-01,SUPERCADENAS,3.631944819257354
COMESTIBLES,DICIEMBRE 2020,1491.328991,754,1305.707,0.8755325001255877,2020-12-01,SUPERCADENAS,3.488758932699323
COMESTIBLES,DICIEMBRE 2021,1605.070722,664,1571.492,0.9790795997087536,2021-12-01,SUPERCADENAS,3.4866462654112103
COMESTIBLES,ENERO 2020,1507.072274,650,1410.215,0.9357315002929978,2020-01-01,SUPERCADENAS,3.432787361556832
COMESTIBLES,ENERO 2021,1524.347448,750,1292.275,0.8477562000025076,2021-01-01,SUPERCADENAS,3.414933762797596
COMESTIBLES,ENERO 2022,1556.779993,599,1565.887,1.0058498998194665,2022-01-01,SUPERCADENAS,3.148935066324455
COMESTIBLES,FEBRERO 2020,1167.918388,657,1361.024,1.1653417002284578,2020-02-01,SUPERCADENAS,3.702057668554827
COMESTIBLES,FEBRERO 2021,1362.447929,735,1153.457,0.8466062999168023,2021-02-01,SUPERCADENAS,3.625293314763345
COMESTIBLES,FEBRERO 2022,1460.276904,574,1574.912,1.0785023002733185,2022-02-01,SUPERCADENAS,3.579944525716883
COMESTIBLES,JULIO 2020,1315.870008,686,1243.067,0.9446731002626514,2020-07-01,SUPERCADENAS,4.094439767219106
COMESTIBLES,JULIO 2021,1433.007832,726,1503.017,1.0488547001884077,2021-07-01,SUPERCADENAS,3.660988682777044
COMESTIBLES,JULIO 2022,1821.744343,637,2610.742,1.4331000999298835,2022-07-01,SUPERCADENAS,4.402755510270092
COMESTIBLES,JUNIO 2020,1361.718415,694,1242.316,0.9123149002872228,2020-06-01,SUPERCADENAS,3.919956299502892
COMESTIBLES,JUNIO 2021,1418.198986,704,1413.978,0.9970236997475896,2021-06-01,SUPERCADENAS,3.83526577408463
COMESTIBLES,JUNIO 2022,1906.155553,641,2232.55,1.1712318003041802,2022-06-01,SUPERCADENAS,4.183388446641191
COMESTIBLES,MARZO 2020,1111.851892,662,1671.189,1.5030680003555728,2020-03-01,SUPERCADENAS,3.640093691644745
COMESTIBLES,MARZO 2021,1054.416967,776,1559.694,1.4792004006134318,2021-03-01,SUPERCADENAS,3.992484874088928
COMESTIBLES,MARZO 2022,1492.248292,568,1720.472,1.1529395002316412,2022-03-01,SUPERCADENAS,3.389212484111761
